spins,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,noiseless_fidelity,noiseless_time
12,0.2086147880798742,,,0.2336147880798741,0.8261702264638511,0.7023532419560383,10.629999999999818,0.8293787255376341,10.639999999999818
16,0.1935200512961204,,,0.2185200512961203,0.8510998943155027,0.7193247745580367,12.469999999999779,0.8557221911987394,12.479999999999778
20,0.1824571005814988,,,0.2074571005814987,0.8496751574673584,0.7290835688341203,14.019999999999746,0.8548412454598096,14.029999999999744
24,0.1739007664481874,,,0.1989007664481873,0.8288374664385694,0.7357110717078942,15.319999999999718,0.8348893470018192,15.339999999999716
28,0.167021317242487,,,0.1886879839091536,0.7983659097912048,0.7407390008464764,16.719999999999814,0.8052676272281623,16.74999999999982
32,0.1613277855665809,,,0.1679277855665809,0.7701472127413096,0.7448462173744831,24.330000000001004,0.7887178294708809,24.42000000000101
36,0.1565094995216228,,,0.1622428328549561,0.8059105849190111,0.748371525295074,26.03000000000127,0.826041012160833,26.11000000000128
40,0.1523592014110747,,,0.1571592014110747,0.8332737490517582,0.7515001097144091,27.5100000000015,0.8567204251771027,27.59000000000152
44,0.148732652074731,,,0.1532659854080643,0.8557982688382404,0.7543408830976579,28.830000000001707,0.8810268873840914,28.91000000000172
48,0.1455259514583734,,,0.14939261812504,0.8728273600447926,0.7569619443049683,30.050000000001898,0.8996409011880399,30.13000000000191
52,0.1426620896096925,,,0.1462620896096925,0.8825526209937455,0.7594081682366439,31.180000000002075,0.9133458597147424,31.27000000000209
56,0.1400825995673427,,,0.1434159329006761,0.890629166852287,0.7617105104231567,32.23000000000216,0.9228276221402985,32.340000000002135
60,0.1377421739279268,,,0.1407421739279268,0.8959622611328927,0.7638912007717802,33.240000000001956,0.9288106171493976,33.350000000001934
64,0.1356050772401441,,,0.1382717439068107,0.8951852526976277,0.7659667789296216,34.19000000000177,0.931834739538878,34.31000000000174
68,0.133642686704113,,,0.136042686704113,0.8954293847512805,0.7679499405542078,35.08000000000159,0.9324099489716478,35.23000000000156
72,0.1318317643718774,,,0.1342317643718774,0.8933847948327733,0.7698507006734344,35.95000000000142,0.9309893047490466,36.110000000001385
76,0.1301532167816073,,,0.1322198834482739,0.886612674953789,0.7716771502725328,36.770000000001254,0.9279892455702814,36.970000000001214
80,0.1285911873390907,,,0.1303911873390907,0.8822203714603017,0.7734359626125997,37.60000000000109,0.9235617826296196,37.80000000000105
84,0.127132380777283,,,0.128932380777283,0.8762501941899583,0.7751327410279572,38.38000000000093,0.918234300280802,38.61000000000089
88,0.1257655526154986,,,0.1272322192821652,0.8654123642418118,0.7767722636340789,39.14000000000078,0.9118977069912282,39.43000000000072
92,0.1244811179678746,,,0.1260144513012079,0.8551959514461912,0.7783586593600524,39.87000000000064,0.9052010531838726,40.21000000000057
96,0.1232708480365625,,,0.1244708480365625,0.8481444005041276,0.7798955372053873,40.65000000000048,0.8978541828085124,41.0500000000004
100,0.1221276319441811,,,0.1233276319441811,0.843824839700786,0.7813860829763796,41.43000000000033,0.8905259401910789,41.86000000000024
104,0.1210452878871717,,,0.1222452878871717,0.8315783589482747,0.7828331329764985,42.15000000000018,0.8829811510696572,42.71000000000007
108,0.120018411961505,,,0.1208850786281716,0.8194452801513107,0.7842392310707296,42.96000000000002,0.875827374086031,43.81999999999985
112,0.119042256077808,,,0.119042256077808,0.8060343587942316,0.7856066735529944,44.149999999999785,0.8788648658765473,50.06999999999861
116,0.118112628564774,,,0.1177792952314406,0.7967714865522066,0.7869375449241842,50.029999999998616,0.8836774542264704,51.14999999999839
120,0.1172258126332353,,,0.1168924792999019,0.8056197442680818,0.7882337467958874,51.1199999999984,0.8880930002082027,51.96999999999823
