spins,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,switch_time
4,38220934.44919214,0.2000230980222891,15330206.075737365,274842.2313293358,196315.87952095416,384779.1238610701,196318.2066425399,0.9985576868397771,0.5783127978759242,2.206000000000095e-05,1.6165212007883107e-05
6,37940452.84280742,0.1993158542874227,10657532.409930754,555662.3729365205,396901.6949546575,777927.3221111287,440876.6017667949,0.9985788277286813,0.7085026131147699,1.2169999999999894e-05,9.792633724587798e-06
8,37841583.9142865,0.20002413080421133,8296603.004056727,915402.8049113048,653859.1463652177,1281563.926875827,767797.0328770975,0.9990271426503422,0.7766150964722698,8.139999999999932e-06,6.8638475581122736e-06
10,37794010.19239817,0.20122834059402875,6828692.485320201,1353585.6868926457,966846.9192090328,1895019.9616497038,1171698.4033803516,0.9985941870525574,0.8185038147684808,5.979999999999953e-06,5.189782072213854e-06
12,37766400.76194906,0.19995741424110067,5828901.475286705,1892013.71631933,1351438.3687995214,2648819.2028470617,1675413.3454460788,0.9975470560007212,0.8468682093966979,4.589999999999966e-06,4.067253273375524e-06
14,37749440.08777288,0.20088844792132787,5069258.364262918,2513024.8645350775,1795017.7603821983,3518234.8103491087,2263196.451237582,0.9963005567717368,0.8674453934902091,3.679999999999975e-06,3.307517167604237e-06
16,37738437.52800067,0.19972085673768034,4529379.067831493,3201860.1213964815,2287042.9438546295,4482604.169955074,2920455.2464183806,0.9953669841263186,0.8830398809585888,3.049999999999981e-06,2.7751886526639498e-06
18,37730300.210999675,0.19837382637922946,4076077.5055811144,4023692.354882202,2874065.9677730016,5633169.296835083,3706722.2813107427,0.9949077222349995,0.8952965723740913,2.5599999999999857e-06,2.3423207167749036e-06
20,37725712.06195632,0.20356122688697903,3726902.7190767513,4700566.438547393,3357547.456105281,6580793.013966351,4363062.589752142,0.9945332680429104,0.9051810557427538,2.2899999999999882e-06,2.1134874691540723e-06
22,37721057.13862308,0.20134410516986964,3425262.682000916,5686482.089224877,4061772.9208749123,7961074.924914828,5314022.338344631,0.9950090150011488,0.9133371336503185,1.979999999999991e-06,1.832325137511264e-06
24,37717153.86745946,0.19704913543513156,3161647.67927577,6907250.9932715045,4933750.709479646,9670151.390580105,6490446.615192013,0.9958835510624248,0.9201998352682623,1.6899999999999938e-06,1.5755611307604808e-06
26,37715791.900663204,0.20716262569998217,2960453.9752684766,7450273.861257967,5321624.186612834,10430383.405761153,7021053.989801458,0.9961119372662496,0.9259525426742349,1.6299999999999943e-06,1.5203700709635929e-06
28,37712721.22409832,0.1955675137349643,2781611.189932981,9130379.743962549,6521699.817116108,12782531.641547568,8643988.70655418,0.9974269600952237,0.9310612433643144,1.3699999999999968e-06,1.2874342237859073e-06
30,37710995.53443173,0.19752965680300538,2592936.2143869833,10441364.416118119,7458117.440084372,14617910.182565365,9926996.654005064,0.9980061100943067,0.9354211099269472,1.2299999999999982e-06,1.1653013478907384e-06
32,37710062.30949492,0.2037918712080804,2449784.351591553,11312533.924155042,8080381.374396457,15837547.493817057,10781346.309870902,0.9984258865164634,0.9392065053117813,1.1699999999999988e-06,1.1108360601268016e-06
34,37708855.93058471,0.20355283298017096,2319944.8477784544,12701788.061547194,9072705.758247996,17782503.28616607,12142369.674429648,0.9988692194016217,0.9426132258086668,1.0699999999999997e-06,1.0197870001176338e-06
36,37707892.137073,0.2009530846682202,2226573.672497269,14087559.61469053,10062542.581921808,19722583.46056674,13497734.817637563,0.9991841370051369,0.9456791455402378,9.900000000000005e-07,9.461290087870123e-07
38,37706997.36778412,0.20078543220269615,2117152.9013584764,15674675.512968961,11196196.794977829,21944545.718156546,15054404.970557172,0.9992400956191319,0.9484102288379533,9.100000000000007e-07,8.736311566665354e-07
40,37706166.51158543,0.1994145679601614,2016478.4471859445,17510798.66568845,12507713.332634607,24515118.13196383,16852542.005858287,0.9990614658865764,0.9508898478197815,8.300000000000006e-07,8.0234087149954e-07
42,37705669.60560068,0.19995113360815467,1945856.1543771382,18825410.681825228,13446721.91558945,26355574.95455532,18146355.797504418,0.9989446502809433,0.9531215344990992,7.900000000000006e-07,7.647422083435036e-07
44,37705395.0283847,0.20863554891912892,1858910.6953071095,19625752.835457113,14018394.882469367,27476053.969639957,18913872.927997477,0.9986894469752106,0.9550600560386558,7.800000000000006e-07,7.50818366912337e-07
46,37705471.9527498,0.2265566564432548,1778056.8576998126,19355967.619203787,13825691.156574134,27098354.6668853,18632744.34180204,0.9981729366452408,0.9566764075579676,8.100000000000006e-07,7.783929678899387e-07
48,37705395.0283847,0.23628686054387885,1722912.6929953285,19572606.252252746,13980433.037323391,27401648.753153846,18923995.789791852,0.9974956269594973,0.958233096901654,8.200000000000006e-07,7.863336013399318e-07
50,37705395.0283847,0.25244804756979056,1651773.679520473,19545164.47948541,13960831.771061009,27363230.271279573,18858662.096726317,0.9969375971196369,0.9595130292706827,8.300000000000006e-07,8.036751639739861e-07
52,37705395.0283847,0.26421747860322886,1604167.1570190943,19524623.63339967,13946159.73814262,27334473.086759534,18822451.603700317,0.9963047596095098,0.9607285912659227,8.500000000000006e-07,8.204533180865634e-07
