spins,mu,alpha,z_trap_frequency,analytical_gamma,optimum_gamma,fidelity,noiseless_fidelity,naive_fidelity,time,noiseless_time,switch_time,fidelity_lower_error,fidelity_upper_error
4,38866025.558247626,0.3998287125449984,15330206.075737365,6722.310140718818,4801.650100513441,0.9863064894344006,0.9910076922346196,0.5905697858218893,0.0009120000000000157,0.0009145000000018,0.0006609160906228,0.9833658070431015,0.9892471718256997
6,38260499.43884239,0.3995610468626709,10657532.409930754,6001.396291803722,4539.908833539691,0.9859989085812317,0.9933641358006042,0.7172681243586957,0.0011660000000000012,0.001168350000001,0.0009066886817879,0.9813133422720633,0.9906844748904001
8,38037405.25159979,0.3999329925228465,8296603.004056727,5559.592099865788,4425.428590023721,0.9856561245507058,0.9946047470362068,0.781033070458954,0.001394999999999982,0.0013982199999996,0.001130152211586,0.9799226416628635,0.9913896074385482
10,37926753.14022768,0.3999501068704938,6828692.485320201,5279.939533363202,4365.704715898753,0.9822952169244198,0.9938159765492206,0.8196028602818617,0.0015939999999999652,0.0015988999999984,0.0013304725720156,0.9747515764883121,0.9898388573605275
12,37863947.18697816,0.3999463057883671,5828901.475286705,5064.753431843845,4294.522324996333,0.9763876307691024,0.990665021943929,0.8456454027589876,0.0017809999999999495,0.0017873599999973,0.0015193827467667,0.9667961204592518,0.985979141078953
14,37823112.40372185,0.3999956494999424,5069258.364262918,4949.948669594623,4272.763953271606,0.9704824095065501,0.9861475722403106,0.8645285132904516,0.0019359999999999365,0.0019440899999964,0.0016791836515643,0.9600515939408231,0.9809132250722771
16,37797206.944782965,0.3989023357365187,4529379.067831493,4795.932968933279,4205.784563343624,0.9632596959865047,0.9813690931599988,0.8789781374650627,0.0021089999999999555,0.0021190299999953,0.0018527710737152,0.9510394419294348,0.9754799500435747
18,37778517.28668459,0.4000055824770943,4076077.5055811135,4683.742588621247,4163.105701126729,0.9552911942988237,0.9768823837726882,0.8902979437548786,0.0022689999999999768,0.0022823899999944,0.0020122322656386,0.9406245553202407,0.9699578332774067
20,37765222.528176166,0.400024186387507,3726902.7190767513,4560.156132209403,4098.819825083689,0.9488528078152471,0.9735945256621624,0.8995438035157137,0.0024399999999999995,0.0024579099999933,0.0021785631846299,0.9320745303774193,0.9656310852530748
22,37754729.24120612,0.3999754536461215,3425262.682000916,4482.878709794468,4067.05045542489,0.9453616263698368,0.9717904001954776,0.907229219629869,0.00259400000000002,0.0026147899999924,0.0023242841822441,0.9277503149892157,0.9629729377504579
24,37746305.53951181,0.3998443218742,3161647.67927577,4442.073288835985,4071.536786310255,0.940246926209597,0.971626213505728,0.91373445849909,0.0027260000000000374,0.0027524199999916,0.0024499362072112,0.9189573265575111,0.961536525861683
26,37740383.41750497,0.4000310079410004,2960453.9752684766,4330.269671710291,4003.767528984795,0.937051450648601,0.9728408336331684,0.919295976869694,0.002905000000000061,0.0029371299999905,0.0026158124684796,0.9124612132958735,0.9616416880013284
28,37735437.28931552,0.4000468935210337,2781611.189932981,4244.214578624275,3941.3748796380064,0.9369230122474783,0.9752672902972804,0.9241365036209028,0.0030730000000000835,0.0031083499999895,0.0027695968572703,0.9109752641558527,0.9628707603391039
30,37730563.16130519,0.3998683998733086,2592936.214386984,4272.200548437751,3982.600514317689,0.9364996160160566,0.9784301982093152,0.9283983815262118,0.0031550000000000944,0.003192859999989,0.0028480254824109,0.9081937166488381,0.9648055153832751
32,37727120.70186065,0.3999657943185926,2449784.351591553,4217.9707370101,3947.535888935774,0.9375496556217321,0.9818674194584904,0.9321544051122258,0.003294000000000113,0.0033336699999881,0.002979245565669,0.9089749624007998,0.9661243488426644
34,37724169.37979395,0.4000012624523645,2319944.8477784544,4177.891033738885,3926.407506573322,0.9387170813958507,0.9853052788426636,0.9355101123876626,0.0034180000000001293,0.0034594099999874,0.0031003964054618,0.9078609375233572,0.9695732252683443
36,37721910.08235316,0.397572316288834,2226573.672497269,4098.591225440827,3856.604273436969,0.9360540812625693,0.988790680001345,0.9387002374563408,0.003568000000000149,0.0036145699999865,0.0032520073560254,0.9014776808493625,0.970630481675776
38,37719850.05999183,0.3996359011174932,2117152.9013584764,4043.950969954946,3815.572110690172,0.936011497572286,0.9912729544466976,0.9412815398661052,0.003702000000000167,0.0037515199999857,0.0033862638297319,0.8998864235624856,0.9721365715820863
40,37718149.77157919,0.40307338628938,2016478.4471859443,3974.9264502262577,3753.2300090969775,0.9362602312096227,0.9931903259566848,0.9435131345621666,0.003854000000000187,0.0039047999999847,0.0035345633782184,0.9002313043191661,0.9722891581000792
42,37716580.12048539,0.3999936613630017,1945856.1543771385,3931.8862810638784,3720.1455175651454,0.9336800988285466,0.995153598039153,0.9459994382478142,0.003967000000000202,0.004023229999984,0.0036614960628762,0.8923064925617852,0.9750537050953081
44,37715008.31402253,0.3997872926713238,1858910.6953071093,3937.812196720907,3729.650992473461,0.9302935816444953,0.996285649326831,0.9480909031590186,0.004033000000000211,0.0040937099999836,0.0037420209388384,0.8870741966613864,0.9735129666276041
46,37713646.58309927,0.4001027691101581,1778056.8576998126,3941.076614430921,3746.988623867628,0.9292943199031326,0.9968769710898217,0.9499811237363044,0.00410000000000022,0.0041619899999832,0.0038229525978573,0.8850879665006116,0.9735006733056536
48,37713063.53812629,0.405832580619459,1722912.6929953285,3769.050458139003,3578.3264072103675,0.9181398451803723,0.996947340729002,0.951340371087529,0.004359000000000254,0.0044361999999816,0.0040834152083868,0.8662107550035952,0.9700689353571493
50,37711431.32523685,0.3966852972496864,1651773.679520473,3938.486364612623,3752.156266279332,0.9274407811712205,0.9966992455796316,0.9536218776497905,0.004236000000000238,0.0043024499999824,0.003988324908037,0.881889113469342,0.9729924488730991
52,37710855.69324921,0.3996212520895964,1604167.1570190943,3819.2648535315934,3639.4630329767297,0.9179429685321179,0.9960203402047364,0.9549451535115135,0.004432000000000264,0.0045114099999811,0.0041942737303493,0.8672882581427979,0.9685976789214379
