spins,optimum_gamma,naive_fidelity,fidelity,fidelity_te,time,time_noise
4,0.3035581536136659,0.5259401383878641,0.7691389477065179,0.7719141140418335,9.879999999999878,0.1
8,0.2707835686727283,0.664083113743898,0.9158599345517264,0.9146403035703864,14.869999999999772,0.1
12,0.2286147880798741,0.7023532419560383,0.9238121094275352,0.923243472559737,18.33999999999969,0.1
16,0.2080200512961204,0.7193247745580367,0.92110087502165,0.9207103019280548,21.24999999999964,0.1
20,0.1909571005814987,0.7290835688341203,0.9114393576577684,0.911318976602172,23.699999999999584,0.1
24,0.1789007664481873,0.7357110717078942,0.889745350733272,0.8897998267473609,25.80999999999954,0.1
28,0.169521317242487,0.7407390008464764,0.8612664548498951,0.8613152470709453,27.6999999999995,0.1
32,0.1668277855665809,0.7448462173744831,0.8799147642435501,0.8801384095490024,34.84999999999985,0.1
36,0.1605094995216228,0.748371525295074,0.893597443594052,0.8937560527770299,36.940000000000175,0.1
40,0.1553592014110747,0.7515001097144091,0.9017157262515224,0.9018469365905238,38.66000000000045,0.1
44,0.150732652074731,0.7543408830976579,0.9036226573733428,0.9037981459508592,40.2800000000007,0.1
48,0.1470259514583734,0.7569619443049683,0.9038239054724244,0.9039476272841408,41.65000000000092,0.1
52,0.1436620896096925,0.7594081682366439,0.9004582702857716,0.9004449754519334,43.10000000000114,0.1
56,0.1405825995673428,0.7617105104231567,0.8939698509848026,0.8940511515255868,44.530000000001365,0.1
60,0.1377421739279268,0.7638912007717802,0.885289374195513,0.8853393686241152,45.77000000000156,0.1
64,0.1356050772401441,0.7659667789296216,0.8795438676282944,0.8795115964430562,47.13000000000177,0.1
68,0.133142686704113,0.7679499405542078,0.8769056808128189,0.8770385252601778,54.340000000002895,0.1
72,0.1313317643718774,0.7698507006734344,0.893550277927786,0.8937104531416098,55.6600000000031,0.1
76,0.1291532167816073,0.7716771502725328,0.9055513313689982,0.9057248412190596,56.97000000000331,0.1
80,0.1275911873390907,0.7734359626125997,0.9165602028401004,0.9166736474498972,58.06000000000348,0.1
84,0.126132380777283,0.7751327410279572,0.9245379217648722,0.9246110632766958,59.08000000000364,0.1
88,0.1247655526154986,0.7767722636340789,0.9298873962084656,0.9298919623941804,60.06000000000379,0.1
92,0.1234811179678746,0.7783586593600524,0.932909641309274,0.9328827585928662,60.99000000000393,0.1
96,0.1217708480365625,0.7798955372053873,0.93308531450934,0.9330485079116456,62.030000000004094,0.1
100,0.1206276319441811,0.7813860829763796,0.9330895302135332,0.9331078094520942,62.91000000000423,0.1
104,0.1195452878871717,0.7828331329764985,0.9314847521916942,0.9316533790538644,63.78000000000434,0.1
108,0.118518411961505,0.7842392310707296,0.9286831215741412,0.9289364849816532,64.35000000000431,0.1
112,0.117542256077808,0.7856066735529944,0.925181529252134,0.9251480447303588,65.22000000000416,0.1
116,0.116112628564774,0.7869375449241842,0.9159948789967678,0.9163010338999332,65.98000000000401,0.1
